title,majors,num_majors
"Pan-disease dimensions in the brain, eye and heart capture s...","Psychology, Neuroscience",2
"The High Seas Treaty spells hope for the ocean, but only if ...",Environmental Science,1
"Improving TNASCI: addressing classification accuracy, autono...","Neuroscience, Psychology",2
Engineered living glues secrete therapeutic proteins for tre...,"Biology, Biomedical Engineering",2
The dawn of ‘off-the-shelf’ B cell-depleting therapies for a...,Biology,1
Can’t get motivated? This brain circuit might explain why — ...,Neuroscience,1
Mitoxyperilysis as a distinct cell death type - Nature Cell ...,Biology,1
Better models are needed to gauge the ecological impacts of ...,"Environmental Science, Civil Engineering",2
Targeting epigenetic readers - Nature Chemical Biology...,Biology,1
Paradoxes of the antibiotic pipeline - Humanities and Social...,"Public Health, Biology",2
Cytoskeleton reorganization induced by a novel K6-K14 kerati...,"Biology, Biomedical Engineering",2
Quantifying women’s water polo overhead movement volumes usi...,"Data Science, Cognitive Science",2
Inclusive finance development and intergenerational income m...,Sociology,1
The North-Eastern Europe and Northern Asia isotopic dataset ...,Environmental Science,1
Spatial correlation network and driving factors of inter-pro...,"Sociology, Political Science",2
A call to re-collectivize science and make it more equitable...,"Biology, Environmental Science",2
Dissecting how morphogens shape cell fates in human neural o...,Neuroscience,1
A project-level dataset of Chinese Belt and Road energy inve...,"Environmental Science, Civil Engineering",2
Working together: a multi-component intranasal vaccine provi...,Biology,1
Advances in understanding preclinical rheumatoid arthritis a...,Public Health,1
Chemosensory response to Pt-based chemotherapeutics via bitt...,"Chemistry, Biology",2
Why water security matters to cities under extreme heat in t...,Civil Engineering,1
Large Language Models in Legal Systems: A Survey - Humanitie...,"Political Science, Computer Science",2
The behavioral dimension of transport decarbonization - npj ...,"Civil Engineering, Sociology",2
Zika immune imprint risks dengue - Nature Immunology...,"Cybersecurity, Public Health",2
Engineering energy-efficient Saccharomyces cerevisiae for me...,"Environmental Science, Biology",2
A ‘time capsule’ for cells stores the secret experiences of ...,"Biology, Psychology",2
The impact of urine output trajectory on clinical outcomes i...,"Biomedical Engineering, Public Health",2
Chromosome-level genome assembly of a Chinese evergreen swee...,Biology,1
The poetic life and death of a glow-worm...,"Cognitive Science, Physics",2
Understanding phenomenological experiences of autistic inert...,"Psychology, Sociology",2
Activating modern industrial heritage conservation. The revi...,"Civil Engineering, Sociology",2
Implications of Australia’s under-16 social media ban - Natu...,"Sociology, Public Health",2
Perceptions of city foodscapes - Nature Cities...,Sociology,1
"Imputations, inverse hyperbolic sines and impossible values ...",Cognitive Science,1
The npj Digital Medicine Editorial Fellowship - npj Digital ...,"Biomedical Engineering, Public Health",2
Linguistic pitch is hierarchically encoded in the right vent...,Neuroscience,1
Exploring the relationship between caring ability and moral ...,"Psychology, Sociology",2
Balancing exploration-exploitation renewal and Indonesian fi...,"Business, Marketing",2
A multimodal dataset of causal mechanisms in materials scien...,"Materials Science, Neuroscience",2
Gz and β-arrestin 1 signaling in the μ-opioid receptor - Cel...,NONE,0
Variability as a new discovery channel for intermediate-mass...,Physics,1
Can ‘toxic masculinity’ be measured? Scientists try to quant...,"Sociology, Psychology",2
Whole-of-food system governance for transformative change - ...,"Political Science, Public Health",2
The hidden human cost of defunded LGBTQIA+ health research -...,"Public Health, Psychology",2
Modelling behaviour in author networks with graphon mean fie...,"Marketing, Cognitive Science",2
The CL1 as a platform technology to leverage biological neur...,"Neuroscience, Biomedical Engineering",2
Measuring bacterial killing to predict antibiotic treatment ...,Biology,1
Integrating hypsography for large-scale lake analysis - Natu...,Environmental Science,1
An alternate chapter in magnetism - Nature Physics...,"Physics, Materials Science",2
Discretionary foods have notable environmental and expenditu...,"Economics, Environmental Science",2
A molecular glue halts RAS–MAPK signaling - Nature Cancer...,Biology,1
Enhanced crosstalk between α- and δ-cells promotes recurrent...,"Neuroscience, Biology",2
The emergence of polarised groups through source filtering -...,"Sociology, Marketing",2
"Relationship between pelvic incidence and hip, pelvic, and l...","Sociology, Public Health",2
Technical modifications to improve erectile function recover...,Biomedical Engineering,1
Drivers of same same-sex sexual behaviour - Nature Ecology &...,"Sociology, Psychology",2
Why design choices matter in recommender systems - Nature Ma...,"Cognitive Science, Artificial Intelligence",2
Time-resolved cortisol monitoring with skin-interfaced weara...,"Neuroscience, Biomedical Engineering",2
Mapping cell–cell communication networks onto cell-state tra...,"Neuroscience, Applied Mathematics",2
Exploring the operational performance of Indian smes: an int...,"Finance, Business",2
Dietary fibre as an essential nutrient - Nature Food...,Civil Engineering,1
Cultural diversity through the lenses of ecology - Nature Co...,"Environmental Science, Cognitive Science",2
Automated satellite-based glacial lake inventory and change ...,Environmental Science,1
SWFITEM: Solar Wind Fitting for Investigations of Thermodyna...,Environmental Science,1
Beyond fresh: implications of produce prescription policy fo...,"Public Health, Business",2
"Order or disorder, that is the question in high-entropy allo...","Materials Science, Mechanical Engineering",2
The hidden health effects of endocrine-disrupting chemicals ...,Public Health,1
Oxidative uptake of Ce by oceanic ferromanganese crusts and ...,Environmental Science,1
Reducing bulky medical images via shape-texture decoupled de...,"Biomedical Engineering, Neuroscience",2
The relationship between emotional intelligence and work per...,Psychology,1
Understanding the effects of aging on whole-body dynamic bal...,"Civil Engineering, Sociology",2
Alexis Soyer’s empiricist kitchen - Nature Food...,"Marketing, Sociology",2
Progress in mechanisms and therapy for fibromyalgia - Nature...,NONE,0
AIs are biased towards some Indian castes — how can research...,"Artificial Intelligence, Sociology",2
From in-silico QSAR modeling to in-vitro MTT assay: experime...,"Chemistry, Biomedical Engineering",2
Policy drivers for clean-energy technology 2025 - Nature Rev...,Environmental Science,1
Engineered nanobodies facilitate cryo-EM studies of small pr...,"Biology, Biomedical Engineering",2
Order and chaos in urban life - Nature Cities...,"Sociology, Civil Engineering",2
Precision bounds for characterising quantum measurements - N...,Physics,1
Including overlooked littoral zones in lake carbon budgets c...,Environmental Science,1
An anniversary annum - Nature Physics...,"Physics, Materials Science",2
From rodents on the ISS to humans in commercial LEO - Nature...,"Biomedical Engineering, Biology",2
High-fidelity chip delayering using green (515 nm) femtoseco...,"Physics, Electrical Engineering",2
Shared universal pressures in the evolution of human languag...,"Cognitive Science, Psychology",2
The role of biodegradable plastics in the global plastic fut...,"Civil Engineering, Biomedical Engineering",2
Active conversion of atmospheric carbon dioxide to methane i...,Environmental Science,1
Dynamical modulation of hippocampal replay through firing ra...,Neuroscience,1
TET1 as a master regulator controlling GPX4-dependent and -i...,"Biomedical Engineering, Biology",2
Evidence for Alfvén waves powering auroral arc via a static ...,"Cybersecurity, Physics",2
A historical approach of media development in Saudi Arabia u...,"Political Science, Marketing",2
Science decade for sustainable development - Nature Reviews ...,"Civil Engineering, Environmental Science",2
Social-ecological network analysis of national park attracti...,"Environmental Science, Sociology",2
DFT study of benzothiadiazole based small molecules for high...,Chemistry,1
Wonder and curiosity beyond the obvious—a dynamic model of b...,"Cognitive Science, Psychology",2
Caution is needed when translating the carbon market logic t...,Environmental Science,1
US science after a year of Trump: what has been lost and wha...,"Neuroscience, Biomedical Engineering",2
Functional movement screen and asymmetries in female volleyb...,"Neuroscience, Mathematics",2
The acceptability to patients with macular disease to have r...,"Cognitive Science, Artificial Intelligence",2
Forced labour in US food supply chains - Nature Food...,"Sociology, Electrical Engineering",2
Proteomic profile of faricimab-associated occlusive retinal ...,Biology,1
Science and Hinduism share the vision of a quest for truth -...,"Psychology, Cognitive Science",2
Plant recognition by Trichoderma Harzianum elicits upregulat...,Biology,1
"To gain public trust, make art central to science communicat...","Political Science, Marketing",2
Non-viral vectors as beacons of hope for reducing genotoxic ...,"Biomedical Engineering, Biology",2
Structural analysis of OCT4 binding to human LIN28B nucleoso...,"Biology, Chemistry",2
"Electrical conductivities of (Mg,Fe)O at extreme pressures a...","Environmental Science, Materials Science",2
ASF1B promotes gastric cancer liver metastasis through inhib...,Biology,1
Immature orangutans require cultural knowledge to develop ma...,Psychology,1
"Knowledge, attitudes, and practices regarding acne among uni...",Public Health,1
Projections of 21st-century sea-level fall along coastal Gre...,Environmental Science,1
"In memoriam – Robert M. Bilder, Ph.D. - Neuropsychopharmacol...","Neuroscience, Chemistry",2
Digital divide and healthcare service utilization among olde...,Public Health,1
"Beyond urban and rural: exploring form, accessibility, and i...","Sociology, Civil Engineering",2
Research on coupling coordination of new quality productive ...,"Business, Neuroscience",2
EMUC25: shaping tomorrow’s uro-oncology care - Nature Review...,"Biomedical Engineering, Biology",2
Revised estimates of CO2 sources and sinks improve global ca...,Environmental Science,1
"Climate change and AKI: heat, hazards and health-system read...","Public Health, Environmental Science",2
Human brain MRI data of intrathecally injected tracer evolut...,Neuroscience,1
Blood biomarkers reveal pathways associated with multimorbid...,"Public Health, Biology",2
Higgs mode-driven phase transitions in two-dimensional perov...,"Materials Science, Physics",2
Mechanistically guided residual learning for battery state m...,"Environmental Science, Neuroscience",2
Getting to the (square) root of stock-market swings...,"Finance, Economics",2
Magma oceans could host dynamos in massive Earth-like planet...,Environmental Science,1
Smile-shaped electron gradient distributions observed during...,"Physics, Neuroscience",2
Translating a bioinspired polymer into a modular surgical pl...,"Biomedical Engineering, Chemistry",2
The virtual cell - Nature Methods...,"Biology, Neuroscience",2
Tariffs and economic uncertainty threaten public health - Na...,Public Health,1
Rising lake and reservoir emissions - Nature Climate Change...,Environmental Science,1
"Talent retention in South Korean context: social support, cu...","Sociology, Psychology",2
Ependymoglial cells are critical for cortex regeneration in ...,Neuroscience,1
Leveraging circular nutrients to improve the sustainability ...,"Civil Engineering, Environmental Science",2
Astaxanthin improve the intestinal microbiota and metabolism...,Biology,1
Predictors of vitamin D deficiency and quality of life in ob...,Data Science,1
Floating science stations: my month on a research vessel loo...,"Environmental Science, Civil Engineering",2
Validation of histopathology-based deep learning algorithms ...,"Artificial Intelligence, Biomedical Engineering",2
A unified knowledge graph linking foodomics to chemical-dise...,Biology,1
The ERP characteristics in the process of hazard identificat...,"Cognitive Science, Psychology",2
Cultural diversity of religion across 117 countries - Nature...,"Political Science, Biology",2
A sustainability-oriented supply chain supplier selection fr...,"Civil Engineering, Mechanical Engineering",2
A study of mental health status and its influencing factors ...,Psychology,1
Prevalence and risk factors of stress urinary incontinence a...,Public Health,1
"Trajectory of stratum radiatum, lacunosum and moleculare int...","Neuroscience, Biology",2
An evaluation system for regional cultural suitability of ur...,Civil Engineering,1
Highly efficient LED device built by stacking layers of ligh...,"Materials Science, Electrical Engineering",2
Enhancing link prediction in biomedical knowledge graphs wit...,"Biology, Biomedical Engineering",2
Resilient low-inertia power systems through asynchronous ene...,Electrical Engineering,1
Behavioral and psychophysical characterization of propriocep...,Neuroscience,1
Impact of dual-tasking and balance confidence on turns and t...,"Neuroscience, Psychology",2
Rotation amplifies mixing in ageing Sun-like stars - Nature ...,"Physics, Environmental Science",2
Social bonds and community support are vital to prison refor...,Sociology,1
HCN channels reveal conserved and divergent physiology in su...,Neuroscience,1
Spatial connections between the timing of hydroclimatic extr...,Environmental Science,1
Love and economic development - Nature Human Behaviour...,"Psychology, Sociology",2
Tragic love: AI’s emotionless system and the absence of huma...,"Psychology, Artificial Intelligence",2
Bowel incision closure with a semi-mutomated Robot-assisted ...,Biomedical Engineering,1
Molecular and zooarchaeological identification of 5000 year ...,"Environmental Science, Biology",2
Immunoassays for the detection and differentiation of Paenib...,"Biology, Cybersecurity",2
"Isolation, purification and characterization of lipocartilag...",Biomedical Engineering,1
Irreversibility in climate action - Nature Climate Change...,Environmental Science,1
Age stereotypes in appeals for intergenerational solidarity:...,Sociology,1
Rethinking classroom design to improve learning - Nature Hum...,"Psychology, Cognitive Science",2
Integrative multimodal hybrid data fusion for mortality pred...,"Biology, Artificial Intelligence",2
High-entropy alloy Janus artificial enzymes for pH-gated seq...,"Biomedical Engineering, Chemistry",2
Label-free tissue NIR-II autofluorescence imaging for visual...,"Biomedical Engineering, Neuroscience",2
Identification of a novel real-time PCR reference gene panel...,Biology,1
Improved de novo production of prostaglandin F2α from glucos...,Biology,1
A CT Dataset with RECIST Measurements and Comprehensive Segm...,"Artificial Intelligence, Biomedical Engineering",2
Cyclone-induced cooling is weaker than suggested by previous...,Environmental Science,1
2D perovskites featuring intralayer bidentate ligands - Natu...,"Chemistry, Materials Science",2
TET1 suppresses hepatocellular carcinoma progression by modu...,"Biology, Materials Science",2
Ancient ‘snowball’ Earth had frigidly briny seas...,Environmental Science,1
Monsters: interdisciplinary explorations in monstrosity - Hu...,"Sociology, Biology",2
There can be more to consciousness research than theory test...,"Psychology, Cognitive Science",2
Looking backwards and forwards - Nature Reviews Clean Techno...,"Environmental Science, Civil Engineering",2
Unusual objects illuminate new evolutionary paths - Nature A...,Physics,1
Trans-RNAs to program translation initiation - Nature Method...,Biology,1
Colour blindness as a risk factor for bladder cancer - Natur...,"Public Health, Cognitive Science",2
Site-saturation functional screens identify PALB2 missense v...,"Biology, Neuroscience",2
Surface rejuvenation of stony near-Earth asteroids triggered...,Physics,1
Post-transcriptional control of endogenous retroviruses by L...,Biology,1
Collective intelligence for AI-assisted chemical synthesis -...,Chemistry,1
A potential turning point for Bolivia’s biodiversity conserv...,Environmental Science,1
Trump one year on: How six US researchers plan to protect sc...,"Biology, Neuroscience",2
Artificial intelligence for public health can harness data f...,Public Health,1
The Italian parliament first to recognize obesity as a chron...,Public Health,1
Climate mode interactions amplify coastal flood risks and th...,Environmental Science,1
Nickel-catalyzed divergent sulfonations of propargylic carbo...,Chemistry,1
Ultra-low-density exoplanets observed around a young star...,Physics,1
A modified nanoparticle–mRNA complex for improved gene editi...,"Biomedical Engineering, Biology",2
Climate adaptation and resilience must account for context a...,"Environmental Science, Public Health",2
"Take the News & Views end-of-year quiz: vampire fungus, migr...",Biology,1
"Forest streamflow driven by soils, topography and previous r...","Environmental Science, Civil Engineering",2
Seeing cities through video games - Nature Cities...,"Sociology, Civil Engineering",2
Reply to: ‘The use of β-blockers after myocardial infarction...,Public Health,1
Fine-tune AlphaFold with limited cryo-EM observations - Comm...,"Physics, Materials Science",2
Outside interference or Hong Kong embracing its unique ident...,"Political Science, Sociology",2
Europe’s water law needs genomic resolution - Nature Water...,Biology,1
Engineering AI co-scientists for statistical genetics applic...,Biology,1
Low temperature and rapid photothermal oxidation of liquid g...,Chemistry,1
Integrating psychological and mental health perspectives in ...,Psychology,1
Workplaces must respond better to the bullied boss - Nature ...,Psychology,1
Cities growing food and people - Nature Cities...,Sociology,1
Quantifying biases in reconstructed brain networks - Communi...,Neuroscience,1
The urgent need for African research collaboration on medici...,Public Health,1
"When local arthropod biomass declines, every species counts ...",Environmental Science,1
Corporate transformation is key to achieving zero waste - Na...,"Business, Marketing",2
Memories of items and their contexts are encoded by separate...,"Neuroscience, Cognitive Science",2
Q-methodological exploration of environmental characteristic...,Sociology,1
Ice age wolf pup’s stomach yields rare DNA from woolly rhino...,Biology,1
Persistent inequities in global lake science - Nature Review...,Environmental Science,1
On the fundamental resource for exponential advantage in qua...,Physics,1
How to change research culture with participatory workshops ...,"Sociology, Psychology",2
The cosmos through the lenses of astronomy and art - Nature ...,Physics,1
Pathologies of the modern paradigm and the refugee question:...,"Sociology, Political Science",2
Creating anthropo-scenes - Nature Climate Change...,Environmental Science,1
The technological revolution in mental health: opportunities...,Psychology,1
United States and European Union aid cuts risk exacerbating ...,"Political Science, Public Health",2
Tropical flash floods are becoming more frequent and widespr...,Environmental Science,1
The fictionalization of morality police in Saudi novel: a ne...,"Sociology, Political Science",2
The ethics of suicide research online: a consensual protocol...,"Sociology, Psychology",2
Predicting in vivo chromatin states - Nature Genetics...,Biology,1
Complexoform-specific ligands that modulate the pleiotropic ...,"Chemistry, Biology",2
Immature development time and survivorship of the dengue vec...,"Cybersecurity, Public Health",2
Bridging the mentorship divide: how large language models co...,"Biomedical Engineering, Biology",2
When clean isn’t enough - Nature Water...,"Environmental Science, Civil Engineering",2
Bionic Janus hydrogel drives infected Achilles tendon regene...,Biomedical Engineering,1
Lived experiences of Lewy body dementia diagnosis and care i...,"Psychology, Public Health",2
Non-covalent assembly of multiple epitopes onto a single nan...,Biomedical Engineering,1
Ophthalmology in the Ebers Papyrus: a translation-based reas...,"Public Health, Biomedical Engineering",2
Lowering the Mo limit for nitrogen fixation by Mo-nitrogenas...,"Biology, Environmental Science",2
The influence of retirement age on life expectancy based on ...,Sociology,1
"Pancreatic cancer: advances in immunology, translational ana...",Biology,1
Twisted graphene puts magnetic fields in check - Nature Sens...,Materials Science,1
Machine learning models for crude protein prediction in Tama...,Biology,1
Endothelin-3 and T-type Ca2+ channels drive enteric neural c...,"Biomedical Engineering, Neuroscience",2
Safety regulations for cloning and a compass that finds true...,"Biology, Environmental Science",2
A photonically linked memristive neural network - Nature Ele...,"Neuroscience, Biomedical Engineering",2
Artificial skin mimics the octopus’s art of disguise...,"Biomedical Engineering, Artificial Intelligence",2
Europa’s thick lid - Nature Astronomy...,"Physics, Environmental Science",2
Times series InSAR deformation monitoring of Jinchuan mining...,"Data Science, Applied Mathematics",2
The Knowledge Connector decision support system for multiomi...,Biology,1
Choreographing time: toward therapy-aligned entactogens for ...,"Psychology, Neuroscience",2
Dual genomic localizations and gene regulatory functions of ...,Biology,1
Let’s talk about limitations - Nature Reviews Physics...,"Materials Science, Environmental Science",2
Tightening the Sargassum belt - Nature Geoscience...,Environmental Science,1
Schools for suicide prevention - Nature Health...,"Psychology, Public Health",2
Gender stereotypes in dance education: a study of implicit b...,"Sociology, Psychology",2
CDK3 drives neuron loss in Alzheimer’s disease - Nature Agin...,"Neuroscience, Biology",2
A Benchmark Dataset of Chinese Development Finance with Clim...,"Environmental Science, Economics",2
Predicting the fate of tropical forests under intensifying h...,Environmental Science,1
A UAV RGB dataset and method for instance tree crown segment...,"Biology, Artificial Intelligence",2
The future of autologous stem cell transplantation in system...,Biomedical Engineering,1
Soluble epoxide hydrolase inhibitory constituents from the H...,Chemistry,1
Closing the carbon mismatch - Nature Geoscience...,Environmental Science,1
Unlocking larger flow and higher temperature with enhanced g...,"Environmental Science, Civil Engineering",2
Fibroblast heterogeneity in 2025 - Nature Reviews Rheumatolo...,"Biomedical Engineering, Materials Science",2
Intermediate-dose TBI/fludarabine conditioning for allogenei...,Biomedical Engineering,1
Evaluating the modified spinal cord injury secondary conditi...,"Biomedical Engineering, Civil Engineering",2
Diagnostic whole transcriptome sequencing in a series of 123...,Biology,1
Social image presentation of virtual sports in social media ...,"Marketing, Sociology",2
GWAS on idiopathic achalasia - Nature Reviews Gastroenterolo...,Public Health,1
The organised crime of kidnapping in Nigeria: a quantitative...,"Sociology, Psychology",2
Quantifying customer sentiment for automobile brand percepti...,"Marketing, Cognitive Science",2
Green ammonia presents an opportunity to advance energy and ...,"Environmental Science, Civil Engineering",2
"Squishing, squeezing and stretching age hematopoietic stem c...",Biomedical Engineering,1
Mini-mint ice cubes for early postoperative thirst relief in...,Biomedical Engineering,1
Emerging concepts and novel mechanisms in organ fibrosis - n...,"Biomedical Engineering, Biology",2
Association between thyroid hormone sensitivity indices and ...,NONE,0
Anthropogenic warming projected to drive a decline in global...,Environmental Science,1
Advancing transdisciplinarity through library–academic colla...,"Sociology, Political Science",2
Molecular insights on the proangiogenic effects of VEGF like...,"Data Science, Business",2
Immunizing against dementia? - Nature Reviews Microbiology...,Biology,1
Could lessons from medical research ethics inform better con...,Environmental Science,1
Developing super-tortillas to address malnutrition in Latin ...,"Sociology, Public Health",2
Can boomerangs bounce?...,Materials Science,1
"Enhancing seed, land and water management in humanitarian in...","Civil Engineering, Environmental Science",2
Fuzzy weighted natural nearest neighbor based density peak c...,Data Science,1
First evidence of naturally vertically transmitted Coxiella-...,Public Health,1
Do their ears hang low? The genetics of dogs’ adorable flopp...,NONE,0
Chronic spontaneous urticaria is associated with elevated se...,NONE,0
A cross-linguistic investigation of /h/ symbolism: the case ...,"Cognitive Science, Sociology",2
Comment to: Rethinking maritime security from the bottom up:...,"Environmental Science, Civil Engineering",2
"Sustainable cost recovery principles can drive equitable, on...",Civil Engineering,1
Anti-BCMA CAR-T cells attenuate microglial activation in pro...,"Neuroscience, Psychology",2
Weakly supervised colorectal gland segmentation through self...,"Artificial Intelligence, Neuroscience",2
30 m-resolution annual crop type maps in Northeast China fro...,Environmental Science,1
Large-scale analysis identifies metabolites associated with ...,"Chemistry, Public Health",2
Network separation modeling and quantum computing for develo...,Applied Mathematics,1
Tensions in air and rail integration based on a European lon...,"Civil Engineering, Sociology",2
Multiparametric comparative assessment of surgical efficacy ...,"Biomedical Engineering, Public Health",2
"New phase, new faces, same mission - Nature Reviews Electric...","Electrical Engineering, Biomedical Engineering",2
Fine particulate matter exacerbates childhood asthma via DNM...,"Biology, Public Health",2
Addressing food waste and hunger together - Nature Human Beh...,"Sociology, Psychology",2
Bacterial richness for enhanced soil carbon storage - Nature...,"Biology, Environmental Science",2
Bringing marine microbiome research into the classroom is an...,"Environmental Science, Biology",2
Compact UV spectral imager - Nature Reviews Electrical Engin...,"Biomedical Engineering, Electrical Engineering",2
Fibroblast spatial heterogeneity in Crohn’s disease fistulae...,NONE,0
Advancing transformational leadership for climate action - n...,"Environmental Science, Political Science",2
Carbon Dots and mesoporous silica nanocomposites improve spr...,Biology,1
Late Holocene fast-ice dynamics around the Northern Victoria...,Environmental Science,1
How ageing harms the body’s response to raging infection...,Public Health,1
The role of take-over cue informativity in interrupted take-...,Cognitive Science,1
Integrated μECoG–CMOS system enables high-density neural rec...,"Neuroscience, Biomedical Engineering",2
Incorporating captured carbon into polymers for essential pr...,"Chemistry, Environmental Science",2
The sequential use of IVF disposable devices doesn’t cause c...,NONE,0
When science meets violence - Nature Medicine...,"Psychology, Biology",2
Hyperpolypharmacy in patients with chronic kidney disease an...,Public Health,1
Traceability for protein sequence to function - Nature Physi...,Biology,1
Reweaving the Threads of Korean History: AI-Driven Restorati...,Sociology,1
