title,url,source,growth_potential,recession_resistance,automation_resistance,skill_accessibility,cross_industry_collaboration
Mapping the effects of gender-affirming sex hormone therapy - Nature Medicine,https://www.nature.com/articles/s41591-025-04146-z,www.nature.com,7.47,6.01,5.69,4.76,7.41
Coral tissue depth reconstructed using skeletal microstructural offsets is driven by environmental stress - Communications Earth & Environment,https://www.nature.com/articles/s43247-025-03114-2,www.nature.com,5.23,7.07,5.01,5.79,7.13
Plan meta-objective for sub-micron quantitative phase imaging - Light: Science & Applications,https://www.nature.com/articles/s41377-025-02099-z,www.nature.com,6.92,6.18,5.5,5.59,7.26
Neuroscientists must not be afraid to study religion,https://www.nature.com/articles/d41586-024-02153-7,www.nature.com,7.16,6.99,5.5,3.82,7.84
Evaluation of immuno-oncologic biomarkers and β-catenin expression in response of hepatocellular carcinomas to immunotherapy - npj Precision Oncology,https://www.nature.com/articles/s41698-026-01275-7,www.nature.com,5.28,7.17,4.56,4.59,7.54
The influence of study area selection and landslide inventory practices on landslides spatial distribution: an example from Northern Morocco - Scientific Reports,https://www.nature.com/articles/s41598-026-36587-y,www.nature.com,6.3,6.75,5.74,5.48,7.19
Influence of objective and perceived exposures to urban nature on people’s happiness - npj Urban Sustainability,https://www.nature.com/articles/s42949-025-00306-9,www.nature.com,7.02,6.57,6.42,5.66,7.02
"To improve resilience to climate change, track what endures",https://www.nature.com/articles/d41586-025-04122-0,www.nature.com,6.46,6.6,6.33,5.75,7.45
Bringing methylation profile scores to early life - Nature Reviews Genetics,https://www.nature.com/articles/s41576-026-00930-w,www.nature.com,5.67,6.56,4.43,5.23,7.36
Unveiling the significance of Netrin-1 and Netrin-4 in metabolic syndrome - Scientific Reports,https://www.nature.com/articles/s41598-026-36172-3,www.nature.com,6.83,6.26,5.99,5.85,7.26
A meta-analysis assessing the effectiveness of demand-side interventions for sustainable food consumption and food waste reduction - Nature Food,https://www.nature.com/articles/s43016-025-01279-9,www.nature.com,4.54,5.07,5.04,6.02,7.48
Design for end of life: how circularity can offer a different path for solar energy - Nature Reviews Methods Primers,https://www.nature.com/articles/s43586-025-00460-5,www.nature.com,6.71,7.17,6.55,4.94,6.5
Shining a light on orphan GPCRs - Nature Chemical Biology,https://www.nature.com/articles/s41589-025-02111-y,www.nature.com,5.49,6.73,4.74,5.12,7.26
Charting our forest future: national supply curves for forest-based CO₂ mitigation - npj Climate Action,https://www.nature.com/articles/s44168-026-00335-9,www.nature.com,4.8,6.54,5.29,6.13,7.01
Soft organic electrochemical neurons operating at biological speed - Nature Sensors,https://www.nature.com/articles/s44460-025-00009-9,www.nature.com,6.69,5.48,5.47,4.19,7.6
"Comment on: “Current and emerging strategies for myopia control: a narrative review of optical, pharmacological, behavioural, and adjunctive therapies” - Eye",https://www.nature.com/articles/s41433-025-04217-y,www.nature.com,6.79,6.43,5.61,6.24,7.19
Fossil-fuel phase out is not enough: countries must remove atmospheric carbon,https://www.nature.com/articles/d41586-026-00211-w,www.nature.com,6.62,6.82,6.41,4.55,6.47
The geomorphic scar of fire - Nature Geoscience,https://www.nature.com/articles/s41561-025-01890-2,www.nature.com,6.39,6.83,6.33,4.66,7.08
Prevalence of suicidal behavior in nigeria: a systematic review and meta-analysis - Scientific Reports,https://www.nature.com/articles/s41598-026-36002-6,www.nature.com,6.89,6.76,5.66,4.03,7.26
Green innovations are the best policy option for reducing greenhouse gas emissions from agrifood systems - Nature Food,https://www.nature.com/articles/s43016-025-01291-z,www.nature.com,6.56,6.4,6.28,5.63,7.22
"An everyday-task-focused, strategy-based educational program for informal dementia carers: a feasibility and pilot study - Scientific Reports",https://www.nature.com/articles/s41598-026-36887-3,www.nature.com,6.16,6.96,4.75,4.78,7.27
One year of Nature Reviews Biodiversity - Nature Reviews Biodiversity,https://www.nature.com/articles/s44358-025-00127-9,www.nature.com,6.6,6.17,6.62,4.97,7.23
Embracing a 24-hour cycle in urban governance - Nature Cities,https://www.nature.com/articles/s44284-025-00253-7,www.nature.com,4.8,6.58,5.2,6.02,7.32
Scaling to new heights: methodological insights for uplifting research on grassroots digital innovation - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-024-04320-7,www.nature.com,7.33,6.92,6.48,4.57,7.56
Scene-level movie data from Amazon X-Ray in the US market combined with IMDb - Scientific Data,https://www.nature.com/articles/s41597-026-06602-y,www.nature.com,6.89,5.47,5.28,4.39,7.17
Response to comment on: A novel rat model for investigating erectile function after nerve-sparing radical prostatectomy - International Journal of Impotence Research,https://www.nature.com/articles/s41443-025-01222-3,www.nature.com,6.58,7.05,5.79,4.32,7.56
"A zero-shot learning framework for chilli leaf disease detection, classification and severity estimation using contrastive image text representations - Scientific Reports",https://www.nature.com/articles/s41598-025-32959-y,www.nature.com,7.36,7.35,6.92,6.35,7.57
Why culture is key to waste management - Nature Human Behaviour,https://www.nature.com/articles/s41562-025-02351-x,www.nature.com,6.81,6.26,6.54,5.03,7.36
Multiparametric MRI radiomics nomogram predicts synchronous distant metastasis in rectal cancer - Scientific Reports,https://www.nature.com/articles/s41598-026-35973-w,www.nature.com,6.65,7.07,5.66,5.38,7.42
Enhancing dietary management and nutritional analysis through deep learning: a multi-model approach for food classification and volume estimation - Scientific Reports,https://www.nature.com/articles/s41598-025-32610-w,www.nature.com,5.06,4.97,4.45,6.79,6.29
Comment on: ‘Thyroid eye disease and steroid therapy: risk stratification for bone health’ - Eye,https://www.nature.com/articles/s41433-025-04195-1,www.nature.com,5.17,6.61,4.68,4.29,7.49
Field-tailoring quantum materials via magneto-synthesis: metastable metallic and magnetically suppressed phases in a trimer iridate - npj Quantum Materials,https://www.nature.com/articles/s41535-026-00852-0,www.nature.com,6.52,6.37,5.94,5.5,5.59
The astronomical year ahead - Nature Astronomy,https://www.nature.com/articles/s41550-026-02779-9,www.nature.com,6.77,7.56,4.6,3.76,5.68
Near-100% site utilization of single atoms for efficient electrocatalysis - Nature Communications,https://www.nature.com/articles/s41467-025-67756-8,www.nature.com,6.86,6.37,6.42,5.01,7.01
Dilemmas and reflections: an observation of violent crimes among vocational school population (VSP) in China - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-06407-1,www.nature.com,6.38,5.52,5.11,5.03,7.32
Related microorganisms occupy similar ecological communities - Nature Ecology & Evolution,https://www.nature.com/articles/s41559-026-02975-w,www.nature.com,6.32,6.03,4.3,6.32,7.19
Environmentally sustainable kidney care in low- and middle-income countries - Nature Reviews Nephrology,https://www.nature.com/articles/s41581-026-01051-7,www.nature.com,6.9,7.27,5.53,5.16,7.41
Exploring and visualizing stratified GWAS results with PheWeb2 - Nature Genetics,https://www.nature.com/articles/s41588-025-02469-8,www.nature.com,5.25,6.58,4.48,5.29,6.33
Social change in science and the courtroom - Nature Reviews Psychology,https://www.nature.com/articles/s44159-025-00522-1,www.nature.com,6.63,6.81,5.44,5.9,5.8
Taming polyiodide flow with electroactive mediators - Nature Chemistry,https://www.nature.com/articles/s41557-025-02059-5,www.nature.com,7.57,6.99,5.95,4.3,7.61
Why 50-year studies are needed in a 3-year-grant world - Nature Reviews Biodiversity,https://www.nature.com/articles/s44358-026-00129-1,www.nature.com,6.14,6.64,5.71,6.47,7.19
Novel insights into chronic HBV infection - Nature Reviews Gastroenterology & Hepatology,https://www.nature.com/articles/s41575-025-01163-8,www.nature.com,6.88,6.59,5.71,5.65,7.13
A monolithic three-dimensional integrated red micro-LED display on silicon using AlInP/GaInP epilayers - Nature Electronics,https://www.nature.com/articles/s41928-025-01546-4,www.nature.com,7.23,6.82,6.59,4.59,5.65
Response to ‘Towards an individualized strategy in perioperative chemotherapy for pancreatic cancer’ - British Journal of Cancer,https://www.nature.com/articles/s41416-025-03294-w,www.nature.com,5.81,6.15,4.41,4.34,7.29
A demographic comparison of NASA astronauts and commercial spaceflight participants - npj Microgravity,https://www.nature.com/articles/s41526-025-00559-9,www.nature.com,5.4,6.94,5.37,4.7,7.51
NASA won’t bring Mars samples back to Earth: this is the science that will be lost,https://www.nature.com/articles/d41586-026-00060-7,www.nature.com,6.45,6.79,5.58,5.81,6.15
Xylosyltransferase engineering to manipulate proteoglycans in mammalian cells - Nature Chemical Biology,https://www.nature.com/articles/s41589-025-02113-w,www.nature.com,6.7,6.81,6.02,4.25,7.17
Interaction mechanisms between liquid organic matter and solid bitumen - Scientific Reports,https://www.nature.com/articles/s41598-026-36636-6,www.nature.com,7.03,6.09,6.42,4.13,6.07
Multidimensional determinants of generative AI acceptance in foreign language education - Scientific Reports,https://www.nature.com/articles/s41598-026-36700-1,www.nature.com,7.25,6.32,5.32,5.17,6.16
Magnetism adds a dimension to ammonia oxidation electrocatalysts - Nature Chemistry,https://www.nature.com/articles/s41557-025-02058-6,www.nature.com,7.05,6.67,5.56,4.06,7.15
"Cost-effectiveness of lung cancer screening: insights from risk stratification, guidelines, and emerging technologies—a systematic review - npj Primary Care Respiratory Medicine",https://www.nature.com/articles/s41533-026-00482-w,www.nature.com,7.6,6.98,5.16,3.98,7.34
Fibrous-layer periosteal stem cells sensing injury-induced inflammation - Cell Research,https://www.nature.com/articles/s41422-025-01210-8,www.nature.com,6.74,6.68,6.13,4.23,7.16
Integrated hydrogel microneedle aptamer sensor for wearable insulin monitoring - Nature Reviews Bioengineering,https://www.nature.com/articles/s44222-025-00394-3,www.nature.com,7.58,6.46,5.47,4.33,7.43
Irrigation increased historical land surface and groundwater loss - Nature Water,https://www.nature.com/articles/s44221-025-00560-2,www.nature.com,6.15,6.36,5.6,4.82,6.75
The promises and perils of crime prediction - Nature Human Behaviour,https://www.nature.com/articles/s41562-022-01373-z,www.nature.com,6.7,5.99,5.05,4.74,6.86
Beyond neurons: astrocytic ensembles stabilize memories after recall - Signal Transduction and Targeted Therapy,https://www.nature.com/articles/s41392-025-02537-9,www.nature.com,7.02,6.45,5.05,4.88,7.8
Expression of sphingosine-1-phosphate receptor 1 in the brain of fatal cerebral malaria - Scientific Reports,https://www.nature.com/articles/s41598-026-36072-6,www.nature.com,6.37,6.72,4.71,6.16,7.2
Supervision of not-for-profit minority institutional shareholder and total factor productivity of listed companies: evidence from China - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-06469-1,www.nature.com,6.59,5.58,5.88,4.62,7.1
Frequent and clinically relevant germline DNA repair gene variants in young and familial myeloproliferative neoplasms - Blood Cancer Journal,https://www.nature.com/articles/s41408-025-01433-3,www.nature.com,6.34,6.91,4.87,5.45,7.43
Combating cyberbullying with transparency: unveiling the impact of IP location disclosure on cyberbullying in Chinese social media - Scientific Reports,https://www.nature.com/articles/s41598-025-29047-6,www.nature.com,6.9,6.15,6.38,6.19,7.06
The high cost of importing green hydrogen from Africa to Europe - Nature Energy,https://www.nature.com/articles/s41560-025-01775-z,www.nature.com,6.52,6.87,5.46,4.68,7.5
"Pan-disease dimensions in the brain, eye and heart capture shared and specific heterogeneity - Nature Mental Health",https://www.nature.com/articles/s44220-025-00566-5,www.nature.com,7.27,6.3,5.47,4.09,7.75
"The High Seas Treaty spells hope for the ocean, but only if it is powered by science - Nature Reviews Biodiversity",https://www.nature.com/articles/s44358-025-00124-y,www.nature.com,6.72,6.56,5.32,4.58,7.32
"Improving TNASCI: addressing classification accuracy, autonomic function, and psychological well-being in SCI - Spinal Cord",https://www.nature.com/articles/s41393-025-01153-2,www.nature.com,6.85,5.49,5.2,4.48,7.17
Engineered living glues secrete therapeutic proteins for treatment of inflammatory bowel disease - Nature Biotechnology,https://www.nature.com/articles/s41587-025-02970-9,www.nature.com,6.89,7.1,5.32,4.37,6.09
The dawn of ‘off-the-shelf’ B cell-depleting therapies for autoimmune diseases - Nature Reviews Rheumatology,https://www.nature.com/articles/s41584-025-01343-5,www.nature.com,6.96,6.75,6.49,4.27,6.05
Can’t get motivated? This brain circuit might explain why — and it can be turned off,https://www.nature.com/articles/d41586-026-00062-5,www.nature.com,6.54,5.99,4.95,6.2,7.37
Mitoxyperilysis as a distinct cell death type - Nature Cell Biology,https://www.nature.com/articles/s41556-025-01861-0,www.nature.com,6.65,6.76,5.88,4.28,6.14
Better models are needed to gauge the ecological impacts of reservoirs,https://www.nature.com/articles/d41586-025-04000-9,www.nature.com,6.9,6.59,5.71,4.66,7.67
Targeting epigenetic readers - Nature Chemical Biology,https://www.nature.com/articles/s41589-025-02130-9,www.nature.com,6.78,6.19,4.69,4.5,7.61
Paradoxes of the antibiotic pipeline - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-024-03211-1,www.nature.com,7.58,6.1,5.68,4.21,7.68
Cytoskeleton reorganization induced by a novel K6-K14 keratin fusion promotes cancer stemness and cellular plasticity via cGAS-STING selection - Oncogenesis,https://www.nature.com/articles/s41389-026-00598-1,www.nature.com,5.05,6.58,5.29,4.38,7.34
Quantifying women’s water polo overhead movement volumes using inertial measurement units and machine learning techniques: a cross-sectional study - Scientific Reports,https://www.nature.com/articles/s41598-026-36402-8,www.nature.com,6.74,6.39,5.09,4.68,7.19
Inclusive finance development and intergenerational income mobility: evidence from China - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-06483-3,www.nature.com,6.99,7.21,6.31,4.82,6.68
The North-Eastern Europe and Northern Asia isotopic dataset of bioarchaeological samples (NEENA) - Scientific Data,https://www.nature.com/articles/s41597-025-06477-5,www.nature.com,4.92,6.46,5.02,5.42,7.1
Spatial correlation network and driving factors of inter-provincial financial risk in China - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-06430-2,www.nature.com,6.37,7.28,4.57,4.94,6.03
A call to re-collectivize science and make it more equitable - npj Biodiversity,https://www.nature.com/articles/s44185-025-00115-4,www.nature.com,7.32,6.51,6.35,4.51,6.18
Dissecting how morphogens shape cell fates in human neural organoids - Nature Methods,https://www.nature.com/articles/s41592-025-02959-x,www.nature.com,4.84,5.91,4.3,4.75,7.31
A project-level dataset of Chinese Belt and Road energy investments 2013–2023 - Scientific Data,https://www.nature.com/articles/s41597-025-06487-3,www.nature.com,4.71,6.53,5.2,4.66,7.03
Working together: a multi-component intranasal vaccine provides synergistic protection against COVID-19 - Signal Transduction and Targeted Therapy,https://www.nature.com/articles/s41392-025-02508-0,www.nature.com,6.85,7.26,5.52,4.38,7.42
Advances in understanding preclinical rheumatoid arthritis and prospects for prevention - Nature Reviews Rheumatology,https://www.nature.com/articles/s41584-025-01342-6,www.nature.com,6.98,5.4,5.38,4.15,7.39
Chemosensory response to Pt-based chemotherapeutics via bitter taste receptors in vitro reveals a new mechanism for bitter taste disorders - Scientific Reports,https://www.nature.com/articles/s41598-026-35636-w,www.nature.com,6.35,5.79,4.63,3.91,7.14
Why water security matters to cities under extreme heat in the Global North - npj Urban Sustainability,https://www.nature.com/articles/s42949-025-00317-6,www.nature.com,6.56,7.2,6.1,5.24,6.0
Large Language Models in Legal Systems: A Survey - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-05924-3,www.nature.com,6.59,5.52,4.31,7.03,6.17
The behavioral dimension of transport decarbonization - npj Sustainable Mobility and Transport,https://www.nature.com/articles/s44333-025-00075-z,www.nature.com,7.04,6.66,6.39,5.61,7.4
Zika immune imprint risks dengue - Nature Immunology,https://www.nature.com/articles/s41590-025-02365-7,www.nature.com,6.7,6.44,4.98,4.95,7.43
Engineering energy-efficient Saccharomyces cerevisiae for methanol and CO2 assimilation - Nature Communications,https://www.nature.com/articles/s41467-026-68516-y,www.nature.com,6.45,6.71,5.33,4.73,7.04
A ‘time capsule’ for cells stores the secret experiences of their past,https://www.nature.com/articles/d41586-026-00116-8,www.nature.com,7.11,7.06,5.71,5.58,7.71
The impact of urine output trajectory on clinical outcomes in female patients with genitourinary infections in the intensive care unit - Scientific Reports,https://www.nature.com/articles/s41598-026-35926-3,www.nature.com,7.09,6.56,5.73,5.6,7.5
"Chromosome-level genome assembly of a Chinese evergreen sweetgum (Liquidambar gracilipes, Altingiaceae) - Scientific Data",https://www.nature.com/articles/s41597-025-06201-3,www.nature.com,6.49,6.8,5.44,4.97,7.39
The poetic life and death of a glow-worm,https://www.nature.com/articles/d41586-025-03990-w,www.nature.com,6.59,6.3,5.78,6.56,7.68
Understanding phenomenological experiences of autistic inertia using online community discourse - Communications Psychology,https://www.nature.com/articles/s44271-025-00386-4,www.nature.com,6.91,6.1,5.76,4.48,7.43
Activating modern industrial heritage conservation. The revitalization of Toppila Silo in the perspective of Alvar Aalto’s architecture - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-026-06493-9,www.nature.com,6.57,6.09,6.27,5.84,7.22
Implications of Australia’s under-16 social media ban - Nature Human Behaviour,https://www.nature.com/articles/s41562-025-02378-0,www.nature.com,6.81,6.06,5.47,5.82,7.13
Perceptions of city foodscapes - Nature Cities,https://www.nature.com/articles/s44284-025-00200-6,www.nature.com,6.21,4.72,6.03,4.62,7.22
"Imputations, inverse hyperbolic sines and impossible values - Nature Human Behaviour",https://www.nature.com/articles/s41562-025-02347-7,www.nature.com,6.51,6.46,5.46,4.72,7.15
The npj Digital Medicine Editorial Fellowship - npj Digital Medicine,https://www.nature.com/articles/s41746-025-02136-6,www.nature.com,7.26,7.86,5.29,4.41,7.68
Linguistic pitch is hierarchically encoded in the right ventral stream - Communications Biology,https://www.nature.com/articles/s42003-026-09545-7,www.nature.com,5.0,6.11,4.94,4.93,5.82
Exploring the relationship between caring ability and moral awareness among nurses with a gender perspective: implications for psychologists and social workers in healthcare ethics and social practice - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-026-06502-x,www.nature.com,7.59,6.47,4.79,4.87,7.37
Balancing exploration-exploitation renewal and Indonesian firm performance: do CEO power and TMT diversity matter? - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-06139-2,www.nature.com,6.87,6.77,6.45,4.61,7.47
A multimodal dataset of causal mechanisms in materials science literature - Scientific Data,https://www.nature.com/articles/s41597-026-06598-5,www.nature.com,6.66,6.17,4.86,6.13,7.35
Gz and β-arrestin 1 signaling in the μ-opioid receptor - Cell Research,https://www.nature.com/articles/s41422-025-01214-4,www.nature.com,6.8,6.44,6.18,3.99,7.54
Variability as a new discovery channel for intermediate-mass black holes in the time-domain era - Nature Astronomy,https://www.nature.com/articles/s41550-025-02759-5,www.nature.com,4.26,6.56,4.25,6.46,5.91
Can ‘toxic masculinity’ be measured? Scientists try to quantify controversial term,https://www.nature.com/articles/d41586-026-00144-4,www.nature.com,7.36,6.49,6.03,5.66,7.39
Whole-of-food system governance for transformative change - Nature Food,https://www.nature.com/articles/s43016-025-01196-x,www.nature.com,6.63,5.27,6.1,4.63,6.98
The hidden human cost of defunded LGBTQIA+ health research - Nature Medicine,https://www.nature.com/articles/s41591-025-03794-5,www.nature.com,7.08,7.23,6.43,4.75,7.5
Modelling behaviour in author networks with graphon mean field games - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-06482-4,www.nature.com,6.88,6.86,5.66,4.94,6.11
The CL1 as a platform technology to leverage biological neural system functions - Nature Reviews Bioengineering,https://www.nature.com/articles/s44222-025-00340-3,www.nature.com,5.46,6.46,5.27,4.39,7.62
Measuring bacterial killing to predict antibiotic treatment outcomes - Nature Microbiology,https://www.nature.com/articles/s41564-025-02251-w,www.nature.com,6.59,5.43,5.23,4.18,7.59
Integrating hypsography for large-scale lake analysis - Nature Water,https://www.nature.com/articles/s44221-025-00457-0,www.nature.com,6.29,6.89,5.6,5.7,7.27
An alternate chapter in magnetism - Nature Physics,https://www.nature.com/articles/s41567-025-03149-4,www.nature.com,6.79,6.85,5.75,4.22,5.66
Discretionary foods have notable environmental and expenditure relevance across meat and plant protein preferences - npj Science of Food,https://www.nature.com/articles/s41538-026-00721-x,www.nature.com,4.71,4.8,4.81,4.95,6.48
A molecular glue halts RAS–MAPK signaling - Nature Cancer,https://www.nature.com/articles/s43018-025-01052-8,www.nature.com,6.87,7.0,5.22,3.84,7.73
Enhanced crosstalk between α- and δ-cells promotes recurrent hypoglycaemia - Nature Metabolism,https://www.nature.com/articles/s42255-025-01423-6,www.nature.com,4.86,6.74,5.24,6.53,7.49
The emergence of polarised groups through source filtering - Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-06419-x,www.nature.com,7.31,6.54,5.86,4.35,5.92
"Relationship between pelvic incidence and hip, pelvic, and lumbar motion during squatting in healthy individuals with high and low pelvic incidence - Scientific Reports",https://www.nature.com/articles/s41598-026-36815-5,www.nature.com,6.31,6.73,6.39,4.06,7.14
Technical modifications to improve erectile function recovery after radical prostatectomy - Nature Reviews Urology,https://www.nature.com/articles/s41585-025-01115-6,www.nature.com,6.54,6.31,5.65,4.42,7.35
Drivers of same same-sex sexual behaviour - Nature Ecology & Evolution,https://www.nature.com/articles/s41559-025-02940-z,www.nature.com,7.04,6.48,5.73,5.01,7.55
Why design choices matter in recommender systems - Nature Machine Intelligence,https://www.nature.com/articles/s42256-025-01043-5,www.nature.com,6.56,5.35,5.3,4.25,6.06
Time-resolved cortisol monitoring with skin-interfaced wearable sensors - Nature Sensors,https://www.nature.com/articles/s44460-025-00008-w,www.nature.com,6.67,7.11,5.38,5.16,7.47
Mapping cell–cell communication networks onto cell-state transition trajectories via a dynamic model - Nature Computational Science,https://www.nature.com/articles/s43588-025-00947-x,www.nature.com,6.67,6.92,5.29,5.8,7.33
Exploring the operational performance of Indian smes: an integrated PLS-SEM and NCA approach - Scientific Reports,https://www.nature.com/articles/s41598-025-26806-3,www.nature.com,5.77,5.8,5.49,5.15,5.36
Dietary fibre as an essential nutrient - Nature Food,https://www.nature.com/articles/s43016-025-01282-0,www.nature.com,6.41,5.34,5.67,4.63,7.31
Cultural diversity through the lenses of ecology - Nature Computational Science,https://www.nature.com/articles/s43588-022-00224-1,www.nature.com,6.46,6.61,5.71,6.08,7.2
Automated satellite-based glacial lake inventory and change detection in High Mountain Asia - Scientific Reports,https://www.nature.com/articles/s41598-026-35446-0,www.nature.com,6.92,6.59,4.71,4.86,7.2
SWFITEM: Solar Wind Fitting for Investigations of Thermodynamics and Energetics at Mars – A MAVEN dataset - Scientific Data,https://www.nature.com/articles/s41597-025-06530-3,www.nature.com,7.09,6.61,6.2,4.91,7.0
Beyond fresh: implications of produce prescription policy for food systems transformation - npj Science of Food,https://www.nature.com/articles/s41538-025-00704-4,www.nature.com,6.26,5.14,6.61,5.44,7.37
"Order or disorder, that is the question in high-entropy alloys - Nature Reviews Materials",https://www.nature.com/articles/s41578-025-00887-y,www.nature.com,6.88,5.98,5.68,3.83,7.38
The hidden health effects of endocrine-disrupting chemicals - Nature Reviews Endocrinology,https://www.nature.com/articles/s41574-025-01222-9,www.nature.com,5.04,6.39,4.58,5.61,7.11
Oxidative uptake of Ce by oceanic ferromanganese crusts and implications for paleoredox estimates using Ce isotopes - Communications Earth & Environment,https://www.nature.com/articles/s43247-026-03196-6,www.nature.com,6.36,6.35,6.39,4.22,6.75
Reducing bulky medical images via shape-texture decoupled deep neural networks - Nature Communications,https://www.nature.com/articles/s41467-026-68292-9,www.nature.com,5.04,6.08,4.64,6.62,7.52
The relationship between emotional intelligence and work performance among palestinians’ midwives in obstetrics and gynecology departments - Scientific Reports,https://www.nature.com/articles/s41598-026-35463-z,www.nature.com,7.42,6.7,5.63,4.93,7.51
"Understanding the effects of aging on whole-body dynamic balance, trunk stability, functional mobility, and hip strength - Scientific Reports",https://www.nature.com/articles/s41598-026-35724-x,www.nature.com,6.53,7.53,6.71,4.5,7.37
Alexis Soyer’s empiricist kitchen - Nature Food,https://www.nature.com/articles/s43016-022-00681-x,www.nature.com,4.82,5.24,4.68,6.4,6.24
Progress in mechanisms and therapy for fibromyalgia - Nature Reviews Rheumatology,https://www.nature.com/articles/s41584-025-01344-4,www.nature.com,7.31,5.81,4.94,4.15,7.33
AIs are biased towards some Indian castes — how can researchers fix this?,https://www.nature.com/articles/d41586-025-04041-0,www.nature.com,7.24,6.31,5.75,5.09,6.12
From in-silico QSAR modeling to in-vitro MTT assay: experimental validation of novel uPAR leads for triple-negative breast cancer (TNBC) and skin cancer - Scientific Reports,https://www.nature.com/articles/s41598-026-36406-4,www.nature.com,6.5,6.79,4.52,5.98,7.48
